date,median_sale_price
2022-10-01,320000
2022-09-01,320000
2022-08-01,331000
2022-07-01,340000
2022-06-01,333000
2022-05-01,310000
2022-04-01,300000
2022-03-01,285000
2022-02-01,282000
2022-01-01,275000
2021-12-01,312230.40000000002
2021-11-01,306938.40000000002
2021-10-01,309055.20000000001
2021-09-01,309055.20000000001
2021-08-01,333398.59999999998
2021-07-01,333398.59999999998
2021-06-01,332340.20000000001
2021-05-01,312230.40000000002
2021-04-01,297677.29999999999
2021-03-01,281668.90000000002
2021-02-01,280478.20000000001
2021-01-01,284182.59999999998
2020-12-01,310239.20000000001
2020-11-01,311347.20000000001
2020-10-01,317995.09999999998
2020-09-01,322981.09999999998
2020-08-01,325751.09999999998
2020-07-01,310826.40000000002
2020-06-01,293508.40000000002
2020-05-01,285863.22152927599
2020-04-01,282816.229826928
2020-03-01,259271.293945157
2020-02-01,239659.74735186901
2020-01-01,247083.32713576901
2019-12-01,258020.97818667599
2019-11-01,256749.94441152099
2019-10-01,255777.31750679199
2019-09-01,261386.46920650199
2019-08-01,274848.43328580703
2019-07-01,280457.58498551702
2019-06-01,280345.40195152297
2019-05-01,266995.62090621202
2019-04-01,246802.674787255
2019-03-01,239510.77757763199
2019-02-01,224029.518886431
2019-01-01,229975.21968812399
2018-12-01,251272.450066989
2018-11-01,247274.933815923
2018-10-01,249559.22881653201
2018-09-01,252757.24181738499
2018-08-01,277541.84257399198
2018-07-01,283252.58007551503
2018-06-01,284394.72757581901
2018-05-01,256983.187568511
2018-04-01,251272.450066989
2018-03-01,239850.975063944
2018-02-01,225859.66818521399
2018-01-01,234140.23756242101
2017-12-01,254782.50700674401
2017-11-01,254475.38154625701
2017-10-01,265590.39821149601
2017-09-01,260793.39101912899
2017-08-01,276061.91391190502
2017-07-01,278460.41750808799
2017-06-01,276120.41399961698
2017-05-01,254182.88110769799
2017-04-01,239850.35961831099
2017-03-01,225810.33856748301
2017-02-01,228150.34207595399
2017-01-01,231543.34716323801
2016-12-01,249742.39678618399
2016-11-01,250937.336483725
2016-10-01,252132.27618126699
2016-09-01,262767.23948938702
2016-08-01,274836.13043455599
2016-07-01,274836.13043455599
2016-06-01,274836.13043455599
2016-05-01,259301.91436651599
2016-04-01,238987.93950831
2016-03-01,225246.132986582
2016-02-01,223453.72344027
2016-01-01,233013.241020602
2015-12-01,241895.76996794299
2015-11-01,235966.35889819401
2015-10-01,242016.77835712201
2015-09-01,260168.03673390599
2015-08-01,272268.87565176201
2015-07-01,280739.462894261
2015-06-01,278319.29511069
2015-05-01,262799.96919854003
2015-04-01,234756.27500640799
2015-03-01,229915.93943926599
2015-02-01,220840.310250874
2015-01-01,224470.56192623099
2014-12-01,235040.65226115799
2014-11-01,248791.74196818899
2014-10-01,244733.05029254599
2014-09-01,249579.24930823999
2014-08-01,278656.44340240402
2014-07-01,281214.024932937
2014-06-01,279867.99315632699
2014-05-01,260483.19709355099
2014-04-01,237463.751769005
2014-03-01,218078.955706229
2014-02-01,220926.097627949
2014-01-01,226559.803983694
2013-12-01,252379.98855986301
2013-11-01,246224.37908279299
2013-10-01,258535.59803693299
2013-09-01,264691.20751400199
2013-08-01,295469.25489935197
2013-07-01,295469.25489935197
2013-06-01,289313.64542228199
2013-05-01,273001.28030804603
2013-04-01,248686.622873621
