Month of Observation,Median Home Price (NSA)
1953-01-15,18080.259999999998
1953-02-15,18080.259999999998
1953-03-15,18080.259999999998
1953-04-15,18122.25
1953-05-15,18143.25
1953-06-15,18143.25
1953-07-15,18185.25
1953-08-15,18206.25
1953-09-15,18227.25
1953-10-15,18227.25
1953-11-15,18206.25
1953-12-15,18206.25
1954-01-15,18206.25
1954-02-15,18227.25
1954-03-15,18227.25
1954-04-15,18206.25
1954-05-15,18206.25
1954-06-15,18227.25
1954-07-15,18290.25
1954-08-15,18332.240000000002
1954-09-15,18374.240000000002
1954-10-15,18353.240000000002
1954-11-15,18353.240000000002
1954-12-15,18374.240000000002
1955-01-15,18395.240000000002
1955-02-15,18332.240000000002
1955-03-15,18290.25
1955-04-15,18185.25
1955-05-15,18185.25
1955-06-15,18269.25
1955-07-15,18332.240000000002
1955-08-15,18437.240000000002
1955-09-15,18479.240000000002
1955-10-15,18458.240000000002
1955-11-15,18416.240000000002
1955-12-15,18374.240000000002
1956-01-15,18332.240000000002
1956-02-15,18269.25
1956-03-15,18206.25
1956-04-15,18122.25
1956-05-15,18143.25
1956-06-15,18332.240000000002
1956-07-15,18479.240000000002
1956-08-15,18605.23
1956-09-15,18584.23
1956-10-15,18563.240000000002
1956-11-15,18521.240000000002
1956-12-15,18542.240000000002
1957-01-15,18605.23
1957-02-15,18773.23
1957-03-15,18773.23
1957-04-15,18899.220000000001
1957-05-15,18962.220000000001
1957-06-15,18899.220000000001
1957-07-15,18899.220000000001
1957-08-15,18899.220000000001
1957-09-15,18962.220000000001
1957-10-15,19067.209999999999
1957-11-15,19067.209999999999
1957-12-15,19046.220000000001
1958-01-15,19067.209999999999
1958-02-15,19067.209999999999
1958-03-15,19235.209999999999
1958-04-15,19277.209999999999
1958-05-15,19319.200000000001
1958-06-15,19214.209999999999
1958-07-15,19214.209999999999
1958-08-15,19193.209999999999
1958-09-15,19130.209999999999
1958-10-15,19109.209999999999
1958-11-15,19151.209999999999
1958-12-15,19172.209999999999
1959-01-15,19130.209999999999
1959-02-15,19109.209999999999
1959-03-15,19109.209999999999
1959-04-15,19109.209999999999
1959-05-15,19193.209999999999
1959-06-15,19193.209999999999
1959-07-15,19130.209999999999
1959-08-15,19109.209999999999
1959-09-15,19151.209999999999
1959-10-15,19256.209999999999
1959-11-15,19277.209999999999
1959-12-15,19193.209999999999
1960-01-15,19256.209999999999
1960-02-15,19256.209999999999
1960-03-15,19256.209999999999
1960-04-15,19256.209999999999
1960-05-15,19214.209999999999
1960-06-15,19172.209999999999
1960-07-15,19172.209999999999
1960-08-15,19256.209999999999
1960-09-15,19340.200000000001
1960-10-15,19403.200000000001
1960-11-15,19340.200000000001
1960-12-15,19340.200000000001
1961-01-15,19340.200000000001
1961-02-15,19298.200000000001
1961-03-15,19340.200000000001
1961-04-15,19256.209999999999
1961-05-15,19319.200000000001
1961-06-15,19298.200000000001
1961-07-15,19361.200000000001
1961-08-15,19382.200000000001
1961-09-15,19382.200000000001
1961-10-15,19382.200000000001
1961-11-15,19487.200000000001
1961-12-15,19529.200000000001
1962-01-15,19550.189999999999
1962-02-15,19508.200000000001
1962-03-15,19508.200000000001
1962-04-15,19508.200000000001
1962-05-15,19613.189999999999
1962-06-15,19634.189999999999
1962-07-15,19634.189999999999
1962-08-15,19634.189999999999
1962-09-15,19613.189999999999
1962-10-15,19571.189999999999
1962-11-15,19592.189999999999
1962-12-15,19592.189999999999
1963-01-15,19613.189999999999
1963-02-15,19613.189999999999
1963-03-15,19718.189999999999
1963-04-15,19802.18
1963-05-15,19760.189999999999
1963-06-15,19760.189999999999
1963-07-15,19802.18
1963-08-15,19802.18
1963-09-15,19802.18
1963-10-15,19802.18
1963-11-15,19928.18
1963-12-15,20012.18
1964-01-15,20012.18
1964-02-15,20075.169999999998
1964-03-15,20075.169999999998
1964-04-15,20012.18
1964-05-15,19928.18
1964-06-15,19991.18
1964-07-15,20033.169999999998
1964-08-15,20096.169999999998
1964-09-15,20159.169999999998
1964-10-15,20201.169999999998
1964-11-15,20264.169999999998
1964-12-15,20264.169999999998
1965-01-15,20390.16
1965-02-15,20390.16
1965-03-15,20327.16
1965-04-15,20285.16
1965-05-15,20264.169999999998
1965-06-15,20264.169999999998
1965-07-15,20306.16
1965-08-15,20306.16
1965-09-15,20306.16
1965-10-15,20432.16
1965-11-15,20537.150000000001
1965-12-15,20600.150000000001
1966-01-15,20663.150000000001
1966-02-15,20621.150000000001
1966-03-15,20621.150000000001
1966-04-15,20642.150000000001
1966-05-15,20684.150000000001
1966-06-15,20726.150000000001
